 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9976148    
   3.625000      0.9880739    
   3.875000      0.9811568    
   4.125000      0.9749553    
   4.375000      0.9700656    
   4.625000      0.9650567    
   4.875000      0.9559929    
   5.125000      0.9480024    
   5.375000      0.9252236    
   5.625000      0.9154443    
   5.875000      0.9072153    
   6.125000      0.8993441    
   6.375000      0.8930233    
   6.625000      0.8871795    
   6.875000      0.8806202    
   7.125000      0.8741801    
   7.375000      0.8677400    
   7.625000      0.8623733    
   7.875000      0.8567681    
   8.125000      0.8490161    
   8.375000      0.8432916    
   8.625000      0.8350626    
   8.875000      0.8281455    
   9.125000      0.8215862    
   9.375000      0.8107334    
   9.625000      0.7995229    
   9.875000      0.7879547    
   10.12500      0.7707812    
   10.37500      0.7521765    
   10.62500      0.0000000E+00
   10.87500      0.0000000E+00
   11.12500      0.0000000E+00
   11.37500      0.0000000E+00
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
