 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9963001    
   3.625000      0.9285466    
   3.875000      0.9220719    
   4.125000      0.9145566    
   4.375000      0.9080818    
   4.625000      0.8997571    
   4.875000      0.8902763    
   5.125000      0.8397502    
   5.375000      0.8342004    
   5.625000      0.8281882    
   5.875000      0.8235634    
   6.125000      0.8194011    
   6.375000      0.8151231    
   6.625000      0.8121170    
   6.875000      0.8084171    
   7.125000      0.8056422    
   7.375000      0.8020580    
   7.625000      0.7991675    
   7.875000      0.7961614    
   8.125000      0.7928084    
   8.375000      0.7898023    
   8.625000      0.7865649    
   8.875000      0.7842525    
   9.125000      0.7813620    
   9.375000      0.7778934    
   9.625000      0.7759278    
   9.875000      0.7706093    
   10.12500      0.6174124    
   10.37500      0.6159093    
   10.62500      0.6142907    
   10.87500      0.6131344    
   11.12500      0.6115158    
   11.37500      0.6110533    
   11.62500      0.6092033    
   11.87500      0.6080471    
   12.12500      0.6072378    
   12.37500      0.6059660    
   12.62500      0.6053879    
   12.87500      0.6037692    
   13.12500      0.6029599    
   13.37500      0.6013412    
   13.62500      0.6003006    
   13.87500      0.5986819    
   14.12500      0.5957914    
   14.37500      0.5940571    
   14.62500      0.5911666    
   14.87500      0.5885074    
   15.12500      0.5800670    
   15.37500      0.5713955    
   15.62500      0.5616834    
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
