 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9976293    
   3.625000      0.9894018    
   3.875000      0.9832659    
   4.125000      0.9742017    
   4.375000      0.9668108    
   4.625000      0.9588621    
   4.875000      0.9518896    
   5.125000      0.9443592    
   5.375000      0.9368289    
   5.625000      0.9297169    
   5.875000      0.9245573    
   6.125000      0.9198160    
   6.375000      0.9145168    
   6.625000      0.9097755    
   6.875000      0.9046158    
   7.125000      0.9023846    
   7.375000      0.8979222    
   7.625000      0.8934598    
   7.875000      0.8898340    
   8.125000      0.8869056    
   8.375000      0.8839771    
   8.625000      0.8789569    
   8.875000      0.8758890    
   9.125000      0.8733789    
   9.375000      0.8707293    
   9.625000      0.8678009    
   9.875000      0.8647330    
   10.12500      0.8620834    
   10.37500      0.8602706    
   10.62500      0.8581788    
   10.87500      0.8559476    
   11.12500      0.8523219    
   11.37500      0.2162878    
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
