 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.1250000       1.000000    
  0.1250000       1.000000    
  0.3750000       1.000000    
  0.6250000       1.000000    
  0.8750000       1.000000    
   1.125000       1.000000    
   1.375000       1.000000    
   1.625000       1.000000    
   1.875000       1.000000    
   2.125000       1.000000    
   2.375000       1.000000    
   2.625000       1.000000    
   2.875000       1.000000    
   3.125000       1.000000    
   3.375000      0.9971094    
   3.625000      0.9891259    
   3.875000      0.9812801    
   4.125000      0.9750860    
   4.375000      0.9693049    
   4.625000      0.9618720    
   4.875000      0.9516861    
   5.125000      0.9438403    
   5.375000      0.9369580    
   5.625000      0.9302133    
   5.875000      0.9248451    
   6.125000      0.9194769    
   6.375000      0.9135581    
   6.625000      0.9090158    
   6.875000      0.9048864    
   7.125000      0.8995182    
   7.375000      0.8944253    
   7.625000      0.8900206    
   7.875000      0.8852030    
   8.125000      0.8818995    
   8.375000      0.8777701    
   8.625000      0.8739160    
   8.875000      0.8703372    
   9.125000      0.8663455    
   9.375000      0.8640055    
   9.625000      0.8611149    
   9.875000      0.8583620    
   10.12500      0.8554714    
   10.37500      0.8521679    
   10.62500      0.8507915    
   10.87500      0.8476256    
   11.12500      0.8447350    
   11.37500      0.2086717    
   11.62500      0.0000000E+00
   11.87500      0.0000000E+00
   12.12500      0.0000000E+00
   12.37500      0.0000000E+00
   12.62500      0.0000000E+00
   12.87500      0.0000000E+00
   13.12500      0.0000000E+00
   13.37500      0.0000000E+00
   13.62500      0.0000000E+00
   13.87500      0.0000000E+00
   14.12500      0.0000000E+00
   14.37500      0.0000000E+00
   14.62500      0.0000000E+00
   14.87500      0.0000000E+00
   15.12500      0.0000000E+00
   15.37500      0.0000000E+00
   15.62500      0.0000000E+00
   15.87500      0.0000000E+00
   16.12500      0.0000000E+00
   16.37500      0.0000000E+00
   16.62500      0.0000000E+00
   16.87500      0.0000000E+00
   17.12500      0.0000000E+00
   17.37500      0.0000000E+00
   17.62500      0.0000000E+00
   17.87500      0.0000000E+00
   18.12500      0.0000000E+00
   18.37500      0.0000000E+00
   18.62500      0.0000000E+00
   18.87500      0.0000000E+00
   19.12500      0.0000000E+00
   19.37500      0.0000000E+00
   19.62500      0.0000000E+00
